ID condition rando type order block sound_dist concept_dist answer RT score problem gender age native
subject_1 joint 2 preTask 1 1 NA NA 1 5931 0.833333333333 No M 40-49 yes
subject_1 joint 2 preTask 0 1 NA NA 0 3326 0.833333333333 No M 40-49 yes
subject_1 joint 2 preTask 0 1 NA NA 0 2693 0.833333333333 No M 40-49 yes
subject_1 joint 2 preTask 1 1 NA NA 1 3042 0.833333333333 No M 40-49 yes
subject_1 sound 2 preTask 0 1 NA NA 0 3172 0.833333333333 No M 40-49 yes
subject_1 sound 2 preTask 1 1 NA NA 1 2636 0.833333333333 No M 40-49 yes
subject_1 sound 2 preTask 1 1 NA NA 1 2367 0.833333333333 No M 40-49 yes
subject_1 sound 2 preTask 0 1 NA NA 0 2381 0.833333333333 No M 40-49 yes
subject_1 concept 2 preTask 0 1 NA NA 0 2245 0.833333333333 No M 40-49 yes
subject_1 concept 2 preTask 1 1 NA NA 0 1995 0.833333333333 No M 40-49 yes
subject_1 concept 2 preTask 1 1 NA NA 0 1844 0.833333333333 No M 40-49 yes
subject_1 concept 2 preTask 0 1 NA NA 0 2497 0.833333333333 No M 40-49 yes
subject_1 concept 2 Task 3 1 0 2 0 2944 0.833333333333 No M 40-49 yes
subject_1 concept 2 Task 1 1 0 0 0 2625 0.833333333333 No M 40-49 yes
subject_1 concept 2 Task 5 1 0 4 0 2285 0.833333333333 No M 40-49 yes
subject_1 concept 2 Task 2 1 0 1 1 2595 0.833333333333 No M 40-49 yes
subject_1 concept 2 Task 4 1 0 3 0 2325 0.833333333333 No M 40-49 yes
subject_1 concept 2 Task 2 2 0 1 1 2170 0.833333333333 No M 40-49 yes
subject_1 concept 2 Task 1 2 0 0 0 2039 0.833333333333 No M 40-49 yes
subject_1 concept 2 Task 5 2 0 4 1 2227 0.833333333333 No M 40-49 yes
subject_1 concept 2 Task 4 2 0 3 1 2069 0.833333333333 No M 40-49 yes
subject_1 concept 2 Task 3 2 0 2 1 2200 0.833333333333 No M 40-49 yes
subject_1 sound 2 Task 4 1 3 0 1 2938 0.833333333333 No M 40-49 yes
subject_1 sound 2 Task 3 1 2 0 1 2676 0.833333333333 No M 40-49 yes
subject_1 sound 2 Task 5 1 4 0 1 2671 0.833333333333 No M 40-49 yes
subject_1 sound 2 Task 2 1 1 0 0 2483 0.833333333333 No M 40-49 yes
subject_1 sound 2 Task 1 1 0 0 0 2541 0.833333333333 No M 40-49 yes
subject_1 sound 2 Task 5 2 4 0 1 2368 0.833333333333 No M 40-49 yes
subject_1 sound 2 Task 3 2 2 0 0 2662 0.833333333333 No M 40-49 yes
subject_1 sound 2 Task 1 2 0 0 0 2357 0.833333333333 No M 40-49 yes
subject_1 sound 2 Task 4 2 3 0 1 2281 0.833333333333 No M 40-49 yes
subject_1 sound 2 Task 2 2 1 0 1 2554 0.833333333333 No M 40-49 yes
subject_1 joint 2 Task 0 1 3 0 0 3762 0.833333333333 No M 40-49 yes
subject_1 joint 2 Task 0 1 3 2 1 2495 0.833333333333 No M 40-49 yes
subject_1 joint 2 Task 0 1 3 1 1 2758 0.833333333333 No M 40-49 yes
subject_1 joint 2 Task 0 1 1 4 1 2465 0.833333333333 No M 40-49 yes
subject_1 joint 2 Task 0 1 4 2 1 2525 0.833333333333 No M 40-49 yes
subject_1 joint 2 Task 0 1 4 3 1 2331 0.833333333333 No M 40-49 yes
subject_1 joint 2 Task 0 1 2 4 1 2112 0.833333333333 No M 40-49 yes
subject_1 joint 2 Task 0 1 0 3 0 2548 0.833333333333 No M 40-49 yes
subject_1 joint 2 Task 0 1 1 2 1 2498 0.833333333333 No M 40-49 yes
subject_1 joint 2 Task 0 1 4 1 0 2325 0.833333333333 No M 40-49 yes
subject_1 joint 2 Task 0 1 4 0 0 1735 0.833333333333 No M 40-49 yes
subject_1 joint 2 Task 0 1 1 0 0 2121 0.833333333333 No M 40-49 yes
subject_1 joint 2 Task 0 1 1 1 1 1874 0.833333333333 No M 40-49 yes
subject_1 joint 2 Task 0 1 3 3 1 2121 0.833333333333 No M 40-49 yes
subject_1 joint 2 Task 0 1 0 4 1 2716 0.833333333333 No M 40-49 yes
subject_1 joint 2 Task 0 1 2 1 1 2534 0.833333333333 No M 40-49 yes
subject_1 joint 2 Task 0 1 3 4 1 2127 0.833333333333 No M 40-49 yes
subject_1 joint 2 Task 0 1 2 2 1 2202 0.833333333333 No M 40-49 yes
subject_1 joint 2 Task 0 1 1 3 1 2462 0.833333333333 No M 40-49 yes
subject_1 joint 2 Task 0 1 2 0 0 2078 0.833333333333 No M 40-49 yes
subject_1 joint 2 Task 0 1 0 0 0 1752 0.833333333333 No M 40-49 yes
subject_1 joint 2 Task 0 1 0 1 0 2037 0.833333333333 No M 40-49 yes
subject_1 joint 2 Task 0 1 4 4 0 11049 0.833333333333 No M 40-49 yes
subject_1 joint 2 Task 0 1 2 3 1 2175 0.833333333333 No M 40-49 yes
subject_1 joint 2 Task 0 1 0 2 1 2250 0.833333333333 No M 40-49 yes
subject_1 joint 2 Task 0 2 4 0 0 4170 0.833333333333 No M 40-49 yes
subject_1 joint 2 Task 0 2 2 1 0 2413 0.833333333333 No M 40-49 yes
subject_1 joint 2 Task 0 2 1 3 1 2328 0.833333333333 No M 40-49 yes
subject_1 joint 2 Task 0 2 3 0 1 2397 0.833333333333 No M 40-49 yes
subject_1 joint 2 Task 0 2 0 3 0 2819 0.833333333333 No M 40-49 yes
subject_1 joint 2 Task 0 2 1 0 0 2558 0.833333333333 No M 40-49 yes
subject_1 joint 2 Task 0 2 3 4 1 4830 0.833333333333 No M 40-49 yes
subject_1 joint 2 Task 0 2 2 2 1 2532 0.833333333333 No M 40-49 yes
subject_1 joint 2 Task 0 2 4 4 1 2241 0.833333333333 No M 40-49 yes
subject_1 joint 2 Task 0 2 1 4 0 2546 0.833333333333 No M 40-49 yes
subject_1 joint 2 Task 0 2 0 1 0 2404 0.833333333333 No M 40-49 yes
subject_1 joint 2 Task 0 2 4 1 1 2240 0.833333333333 No M 40-49 yes
subject_1 joint 2 Task 0 2 3 3 1 2596 0.833333333333 No M 40-49 yes
subject_1 joint 2 Task 0 2 1 1 0 2603 0.833333333333 No M 40-49 yes
subject_1 joint 2 Task 0 2 2 0 1 2562 0.833333333333 No M 40-49 yes
