ID condition rando type order block chunk sound_dist concept_dist answer RT score problem gender age native
subject_1 joint 0 preTask 1 1  NA NA 0 4082 0.75 No M 40-49 yes
subject_1 joint 0 preTask 0 1  NA NA 0 4135 0.75 No M 40-49 yes
subject_1 joint 0 preTask 0 1  NA NA 0 2895 0.75 No M 40-49 yes
subject_1 joint 0 preTask 1 1  NA NA 1 3540 0.75 No M 40-49 yes
subject_1 sound 0 preTask 0 1  NA NA 0 2208 0.75 No M 40-49 yes
subject_1 sound 0 preTask 0 1  NA NA 0 2229 0.75 No M 40-49 yes
subject_1 sound 0 preTask 1 1  NA NA 1 2221 0.75 No M 40-49 yes
subject_1 sound 0 preTask 1 1  NA NA 1 2343 0.75 No M 40-49 yes
subject_1 concept 0 preTask 0 1  NA NA 0 2015 0.75 No M 40-49 yes
subject_1 concept 0 preTask 1 1  NA NA 0 1828 0.75 No M 40-49 yes
subject_1 concept 0 preTask 0 1  NA NA 0 1965 0.75 No M 40-49 yes
subject_1 concept 0 preTask 1 1  NA NA 0 2003 0.75 No M 40-49 yes
subject_1 joint 0 Task 0 0 1 4 3 0 2665 0.75 No M 40-49 yes
subject_1 joint 0 Task 0 0 1 0 0 0 2824 0.75 No M 40-49 yes
subject_1 joint 0 Task 0 0 1 4 1 1 2819 0.75 No M 40-49 yes
subject_1 joint 0 Task 0 0 1 2 1 0 2287 0.75 No M 40-49 yes
subject_1 joint 0 Task 0 0 1 1 3 0 2216 0.75 No M 40-49 yes
subject_1 joint 0 Task 0 0 1 4 2 1 2370 0.75 No M 40-49 yes
subject_1 joint 0 Task 0 0 1 1 4 0 2279 0.75 No M 40-49 yes
subject_1 joint 0 Task 0 0 1 2 0 0 2230 0.75 No M 40-49 yes
subject_1 joint 0 Task 0 0 1 3 4 1 2251 0.75 No M 40-49 yes
subject_1 joint 0 Task 0 0 1 0 2 0 2136 0.75 No M 40-49 yes
subject_1 joint 0 Task 0 0 1 3 2 1 2239 0.75 No M 40-49 yes
subject_1 joint 0 Task 0 0 1 4 4 1 2244 0.75 No M 40-49 yes
subject_1 joint 0 Task 0 0 1 0 3 0 2238 0.75 No M 40-49 yes
subject_1 joint 0 Task 0 0 1 1 2 0 2132 0.75 No M 40-49 yes
subject_1 joint 0 Task 0 0 1 3 0 1 2398 0.75 No M 40-49 yes
subject_1 joint 0 Task 0 0 1 3 3 1 2471 0.75 No M 40-49 yes
subject_1 joint 0 Task 0 0 1 2 2 1 2532 0.75 No M 40-49 yes
subject_1 joint 0 Task 0 0 1 4 0 1 2241 0.75 No M 40-49 yes
subject_1 joint 0 Task 0 0 1 0 4 0 2187 0.75 No M 40-49 yes
subject_1 joint 0 Task 0 0 1 2 4 1 2249 0.75 No M 40-49 yes
subject_1 joint 0 Task 0 0 1 1 1 1 2664 0.75 No M 40-49 yes
subject_1 joint 0 Task 0 0 1 2 3 1 2388 0.75 No M 40-49 yes
subject_1 joint 0 Task 0 0 1 0 1 0 4080 0.75 No M 40-49 yes
subject_1 joint 0 Task 0 0 1 3 1 1 2339 0.75 No M 40-49 yes
subject_1 joint 0 Task 0 0 1 1 0 0 2274 0.75 No M 40-49 yes
subject_1 sound 0 Task 2 0 1 1 0 0 2296 0.75 No M 40-49 yes
subject_1 sound 0 Task 5 0 1 4 0 1 2456 0.75 No M 40-49 yes
subject_1 sound 0 Task 1 0 1 0 0 0 2151 0.75 No M 40-49 yes
subject_1 sound 0 Task 3 0 1 2 0 1 3204 0.75 No M 40-49 yes
subject_1 sound 0 Task 4 0 1 3 0 1 2300 0.75 No M 40-49 yes
subject_1 sound 0 Task 4 0 1 3 0 1 2265 0.75 No M 40-49 yes
subject_1 sound 0 Task 2 0 1 1 0 1 2310 0.75 No M 40-49 yes
subject_1 sound 0 Task 3 0 1 2 0 1 2169 0.75 No M 40-49 yes
subject_1 sound 0 Task 1 0 1 0 0 0 2153 0.75 No M 40-49 yes
subject_1 sound 0 Task 5 0 1 4 0 1 2218 0.75 No M 40-49 yes
subject_1 sound 0 Task 3 0 1 2 0 1 2360 0.75 No M 40-49 yes
subject_1 sound 0 Task 4 0 1 3 0 1 2135 0.75 No M 40-49 yes
subject_1 sound 0 Task 2 0 1 1 0 1 2167 0.75 No M 40-49 yes
subject_1 sound 0 Task 1 0 1 0 0 0 2138 0.75 No M 40-49 yes
subject_1 sound 0 Task 5 0 1 4 0 1 2239 0.75 No M 40-49 yes
subject_1 sound 0 Task 2 0 1 1 0 1 2943 0.75 No M 40-49 yes
subject_1 sound 0 Task 4 0 1 3 0 1 2221 0.75 No M 40-49 yes
subject_1 sound 0 Task 5 0 1 4 0 1 2246 0.75 No M 40-49 yes
subject_1 sound 0 Task 1 0 1 0 0 0 2257 0.75 No M 40-49 yes
subject_1 sound 0 Task 3 0 1 2 0 1 2245 0.75 No M 40-49 yes
subject_1 sound 0 Task 2 0 1 1 0 0 2227 0.75 No M 40-49 yes
subject_1 sound 0 Task 4 0 1 3 0 1 2206 0.75 No M 40-49 yes
subject_1 sound 0 Task 3 0 1 2 0 1 2178 0.75 No M 40-49 yes
subject_1 sound 0 Task 1 0 1 0 0 0 2172 0.75 No M 40-49 yes
subject_1 sound 0 Task 5 0 1 4 0 1 2106 0.75 No M 40-49 yes
subject_1 concept 0 Task 3 0 1 0 2 0 2821 0.75 No M 40-49 yes
subject_1 concept 0 Task 5 0 1 0 4 1 2229 0.75 No M 40-49 yes
