ID condition rando type order block chunk sound_dist concept_dist answer RT score problem gender age native
subject_1 joint 1 preTask 1 1  NA NA 1 3894 1.0 No F 40-49 yes
subject_1 joint 1 preTask 0 1  NA NA 0 3264 1.0 No F 40-49 yes
subject_1 joint 1 preTask 0 1  NA NA 0 2387 1.0 No F 40-49 yes
subject_1 joint 1 preTask 1 1  NA NA 1 2352 1.0 No F 40-49 yes
subject_1 sound 1 preTask 1 1  NA NA 1 2280 1.0 No F 40-49 yes
subject_1 sound 1 preTask 1 1  NA NA 1 2163 1.0 No F 40-49 yes
subject_1 sound 1 preTask 0 1  NA NA 0 2442 1.0 No F 40-49 yes
subject_1 sound 1 preTask 0 1  NA NA 0 2193 1.0 No F 40-49 yes
subject_1 concept 1 preTask 1 1  NA NA 1 2112 1.0 No F 40-49 yes
subject_1 concept 1 preTask 0 1  NA NA 0 1913 1.0 No F 40-49 yes
subject_1 concept 1 preTask 0 1  NA NA 0 1929 1.0 No F 40-49 yes
subject_1 concept 1 preTask 1 1  NA NA 1 2074 1.0 No F 40-49 yes
subject_1 joint 1 Task 0 0 1 4 0 1 2289 1.0 No F 40-49 yes
subject_1 joint 1 Task 0 0 1 4 2 1 2188 1.0 No F 40-49 yes
subject_1 joint 1 Task 0 0 1 4 3 1 2194 1.0 No F 40-49 yes
subject_1 joint 1 Task 0 0 1 3 1 1 2608 1.0 No F 40-49 yes
subject_1 joint 1 Task 0 0 1 3 3 1 2323 1.0 No F 40-49 yes
subject_1 joint 1 Task 0 0 1 0 1 0 2121 1.0 No F 40-49 yes
subject_1 joint 1 Task 0 0 1 1 4 1 2482 1.0 No F 40-49 yes
subject_1 joint 1 Task 0 0 1 2 4 1 2714 1.0 No F 40-49 yes
subject_1 joint 1 Task 0 0 1 3 2 0 2339 1.0 No F 40-49 yes
subject_1 joint 1 Task 0 0 1 4 1 1 3140 1.0 No F 40-49 yes
subject_1 joint 1 Task 0 0 1 0 4 1 2842 1.0 No F 40-49 yes
subject_1 joint 1 Task 0 0 1 2 2 0 2552 1.0 No F 40-49 yes
subject_1 joint 1 Task 0 0 1 4 4 1 2237 1.0 No F 40-49 yes
subject_1 joint 1 Task 0 0 1 1 1 0 2185 1.0 No F 40-49 yes
