ID condition rando type order block chunk sound_dist concept_dist answer RT score problem gender age native
subject_1 joint 1 preTask 1 1  NA NA 0 2991 0.5 No M 40-49 yes
subject_1 joint 1 preTask 0 1  NA NA 1 1568 0.5 No M 40-49 yes
subject_1 joint 1 preTask 0 1  NA NA 1 1871 0.5 No M 40-49 yes
subject_1 joint 1 preTask 1 1  NA NA 1 6942 0.5 No M 40-49 yes
subject_1 sound 1 preTask 0 1  NA NA 0 1570 0.5 No M 40-49 yes
subject_1 sound 1 preTask 0 1  NA NA 0 1613 0.5 No M 40-49 yes
subject_1 sound 1 preTask 1 1  NA NA 1 1614 0.5 No M 40-49 yes
subject_1 sound 1 preTask 1 1  NA NA 0 1730 0.5 No M 40-49 yes
subject_1 concept 1 preTask 0 1  NA NA 0 1618 0.5 No M 40-49 yes
subject_1 concept 1 preTask 0 1  NA NA 1 1506 0.5 No M 40-49 yes
subject_1 concept 1 preTask 1 1  NA NA 0 1507 0.5 No M 40-49 yes
subject_1 concept 1 preTask 1 1  NA NA 1 1674 0.5 No M 40-49 yes
subject_1 sound 1 Task 1 1 1 0 0 0 1505 0.5 No M 40-49 yes
subject_1 sound 1 Task 2 1 1 1 0 1 1584 0.5 No M 40-49 yes
subject_1 sound 1 Task 5 1 1 4 0 1 1879 0.5 No M 40-49 yes
subject_1 sound 1 Task 3 1 1 2 0 0 2394 0.5 No M 40-49 yes
subject_1 sound 1 Task 4 1 1 3 0 0 1597 0.5 No M 40-49 yes
subject_1 sound 1 Task 3 2 1 2 0 1 1685 0.5 No M 40-49 yes
subject_1 sound 1 Task 2 2 1 1 0 0 1612 0.5 No M 40-49 yes
subject_1 sound 1 Task 1 2 1 0 0 1 1611 0.5 No M 40-49 yes
subject_1 sound 1 Task 5 2 1 4 0 1 1905 0.5 No M 40-49 yes
subject_1 sound 1 Task 4 2 1 3 0 1 1507 0.5 No M 40-49 yes
subject_1 joint 1 Task 0 1 1 0 2 0 2965 0.5 No M 40-49 yes
subject_1 joint 1 Task 0 1 1 1 1 0 1736 0.5 No M 40-49 yes
subject_1 joint 1 Task 0 1 1 0 4 0 2091 0.5 No M 40-49 yes
subject_1 joint 1 Task 0 1 1 3 0 0 1800 0.5 No M 40-49 yes
subject_1 joint 1 Task 0 1 1 2 4 0 1853 0.5 No M 40-49 yes
subject_1 joint 1 Task 0 1 1 4 1 0 1587 0.5 No M 40-49 yes
subject_1 joint 1 Task 0 1 1 1 3 1 1634 0.5 No M 40-49 yes
subject_1 joint 1 Task 0 1 1 4 4 0 1564 0.5 No M 40-49 yes
subject_1 joint 1 Task 0 1 1 3 3 1 1689 0.5 No M 40-49 yes
subject_1 joint 1 Task 0 1 1 0 1 0 1824 0.5 No M 40-49 yes
subject_1 joint 1 Task 0 1 1 3 2 0 1744 0.5 No M 40-49 yes
subject_1 joint 1 Task 0 1 1 4 2 1 1506 0.5 No M 40-49 yes
subject_1 joint 1 Task 0 1 1 4 0 0 1688 0.5 No M 40-49 yes
subject_1 joint 1 Task 0 1 1 2 2 1 1597 0.5 No M 40-49 yes
subject_1 joint 1 Task 0 1 1 3 4 0 7648 0.5 No M 40-49 yes
subject_1 joint 1 Task 0 1 1 1 4 0 1552 0.5 No M 40-49 yes
subject_1 joint 1 Task 0 1 1 2 3 0 1529 0.5 No M 40-49 yes
subject_1 joint 1 Task 0 1 1 2 1 1 1510 0.5 No M 40-49 yes
subject_1 joint 1 Task 0 1 1 1 0 0 1507 0.5 No M 40-49 yes
