ID condition type order block sound_dist concept_dist answer RT score problem gender age
A3G5FY6NGZWIY7 joint preTask 1 1 NA NA 1 5407 0.6875 No M 30-39
A3G5FY6NGZWIY7 joint preTask 0 1 NA NA 0 2875 0.6875 No M 30-39
A3G5FY6NGZWIY7 joint preTask 0 1 NA NA 0 2626 0.6875 No M 30-39
A3G5FY6NGZWIY7 joint preTask 1 1 NA NA 1 2594 0.6875 No M 30-39
A3G5FY6NGZWIY7 sound preTask 1 1 NA NA 1 2498 0.6875 No M 30-39
A3G5FY6NGZWIY7 sound preTask 1 1 NA NA 1 2396 0.6875 No M 30-39
A3G5FY6NGZWIY7 sound preTask 0 1 NA NA 0 2393 0.6875 No M 30-39
A3G5FY6NGZWIY7 sound preTask 0 1 NA NA 0 2412 0.6875 No M 30-39
A3G5FY6NGZWIY7 concept preTask 0 1 NA NA 0 2817 0.6875 No M 30-39
A3G5FY6NGZWIY7 concept preTask 1 1 NA NA 1 2253 0.6875 No M 30-39
A3G5FY6NGZWIY7 concept preTask 0 1 NA NA 0 2434 0.6875 No M 30-39
A3G5FY6NGZWIY7 concept preTask 1 1 NA NA 0 3218 0.6875 No M 30-39
A3G5FY6NGZWIY7 sound Task 3 1 3 0 1 2644 0.6875 No M 30-39
A3G5FY6NGZWIY7 sound Task 2 1 2 0 1 2815 0.6875 No M 30-39
A3G5FY6NGZWIY7 sound Task 4 1 4 0 0 2720 0.6875 No M 30-39
A3G5FY6NGZWIY7 sound Task 1 1 1 0 0 2771 0.6875 No M 30-39
A3G5FY6NGZWIY7 sound Task 3 2 3 0 1 2744 0.6875 No M 30-39
A3G5FY6NGZWIY7 sound Task 4 2 4 0 1 2535 0.6875 No M 30-39
A3G5FY6NGZWIY7 sound Task 2 2 2 0 0 2558 0.6875 No M 30-39
A3G5FY6NGZWIY7 sound Task 1 2 1 0 0 2449 0.6875 No M 30-39
A3G5FY6NGZWIY7 concept Task 1 1 0 1 0 2734 0.6875 No M 30-39
A3G5FY6NGZWIY7 concept Task 4 1 0 4 1 2544 0.6875 No M 30-39
A3G5FY6NGZWIY7 concept Task 2 1 0 2 1 2535 0.6875 No M 30-39
